,nombre_del_platillo,tiempo_preparacion,porciones,ingredientes,instrucciones,nutricion
10,Pérdidas de balón de manzanas,55 mins,8,"2 cucharadas de jugo de limón, 4 tazas de agua, 4 manzanas Granny Smith - peladas, con núcleo y en rodajas, 2 cucharadas de mantequilla, 1 taza de azúcar morena, 1 cucharadita de canela molida, 1 cucharada de maíz, 1 cucharada de agua, 1 (17.25 onzas) paquete congelado congelado Hojas de pastelería, descongeladas, 1 taza de azúcar de los confitores, 1 cucharada de leche, 1 cucharadita de extracto de vainilla","Combine el agua de limón y 4 tazas en un tazón grande. Coloque las manzanas en rodajas en el agua para evitar que se doren.
Derrita la mantequilla en una sartén grande a fuego medio. Escurra agua de las manzanas y colóquelos en la sartén caliente. Cocine y revuelva durante unos 2 minutos. Agregue azúcar morena y canela, y cocine, revolviendo, durante 2 minutos más. Revuelva la maicena y 1 cucharada de agua. Vierta en la sartén y mezcle bien. Cocine por otro minuto, o hasta que la salsa se haya espesado. Retirar del fuego para enfriar ligeramente.
Precaliente el horno a 400 grados F (200 grados C).
Despliegue las hojas de hojaldre y repare las grietas presionándolas de nuevo. Recorte cada hoja en un cuadrado. Luego corte cada cuadrado más grande en 4 cuadrados más pequeños. Coloque manzanas en el centro de cada cuadrado. Doblar desde la esquina en la esquina en forma de triángulo y presione los bordes juntos para sellar. Coloque las pérdidas de balón en una bandeja para hornear, dejando aproximadamente 1 pulgada entre ellas.
Hornee durante 25 minutos en el horno precalentado, hasta que las pérdidas de balón estén hinchadas y ligeramente doradas. Fresco completamente antes del acristalamiento.
Para hacer el glaseado, mezcle el azúcar, la leche y la vainilla de los confitores en un tazón pequeño. Ajuste el grosor agregando más azúcar o leche si es necesario. Rocíe el glaseado sobre las pérdidas de balón enfriadas.











Dotdash Meredith Food Studios
","Total de grasa 26G 33%, grasas saturadas 8G 39%, colesterol 8 mg 3%, sodio 184mg 8%, carbohidrato total 80G 29%, fibra dietética 2G 9%, azúcares totales 50 g, proteína 5G, vitamina C 5mg 26%, calcio 42mg 3 %, Hierro 2mg 11%, potasio 161mg 3%"
11,Apple Crisp - Perfecto y fácil,1 hrs,6,"2 ½ tazas de manzanas: peladas, con núcleo y rodajas, 1 taza de harina de uso múltiple, 1 taza de azúcar blanca, ½ cucharadita de canela molida, ¼ cucharadita de sal, ½ taza de mantequilla, suavizado","Precaliente el horno a 375 grados F (190 grados C). Engrase ligeramente una fuente de horno cuadrada de 8 pulgadas.
Organice las rodajas de manzana de manera uniforme en la fuente para hornear preparada. Tamizar la harina, el azúcar, la canela y la sal en un tazón. Corte en mantequilla con una licuadora de pastelería, o 2 cuchillos, hasta que la mezcla se asemeja a una harina de maíz gruesa; Espolvorea sobre manzanas.
Hornee en el horno precalentado hasta que la cobertura esté dorada, de 40 a 45 minutos. Enfríe ligeramente antes de servir.











Nápoles34102
","Total de grasa 16G 20%, grasa saturada 10G 49%, colesterol 41mg 14%, sodio 207mg 9%, carbohidrato total 56 g 20%, fibra dietética 2G 6%, azúcares totales 38 g, proteína 2G, vitamina C 2mg 11%, calcio 13mg 1 1 %, Hierro 1 mg 6%, potasio 77mg 2%"
12,Las mejores manzanas de caramelo,2 hrs 15 mins,8,"8 manzanas tartas grandes, 8 palillos de madera para asas, 2 tazas de azúcar morena empaquetada, 1 (14 onzas) lata de leche condensada endulzada, 1 taza de jarabe de maíz ligero, 1 taza de mantequilla, 2 cucharaditas de extracto de vainilla","Lleve una cacerola grande de agua a ebullición. Sumerja las manzanas en agua hirviendo durante unos segundos, usando una cuchara ranurada, luego seca con toallas de papel para eliminar cualquier cera de las cáscaras. Ajuste las manzanas para que se enfríen por completo, unos 30 minutos.
Inserte palos en la parte inferior de cada manzana enfriada a través del núcleo para una manija.
Cubra una bandeja para hornear con papel pergamino.
Revuelva el azúcar morena, la leche condensada endulzada, el jarabe de maíz y la mantequilla en una cacerola a fuego medio-alto. Llevar a ebullición, revolviendo constantemente, luego reduzca el fuego a medio. Cocine hasta que un termómetro de caramelo lea 248 grados F (120 grados C), revolviendo constantemente para evitar la quema, aproximadamente 25 a 30 minutos. Una cucharadita de caramelo caída en un vaso de agua fría, debe formar una pelota firme. Retire el caramelo del fuego y agregue el extracto de vainilla.
Trabajando rápidamente, sumerja cada manzana en el caramelo caliente para cubrir completamente la manzana y aproximadamente 1/2 pulgada del mango de madera. Espolvorea las manzanas con cualquier cobertura deseada mientras aún esté caliente. Deje que las manzanas de caramelo se enfríen en la bandeja para hornear preparada, aproximadamente 1 hora. Usa precaución, el caramelo está muy caliente.","Total de grasa 28g 35%, grasa saturada 17G 87%, colesterol 78mg 26%, sodio 269mg 12%, carbohidrato total 142 g 51%, fibra dietética 5G 18%, azúcares totales 113G, proteína 5 g, vitamina C 11mg 55%, calcio 210mg 16 16 %, Hierro 1 mg 4%, potasio 491mg 10%"
13,sopa mulligatawny,1 hrs 20 mins,6,"½ taza de cebolla picada, 2 tallos de apio, picado, 1 zanahoria, cortado en cubitos, ¼ de taza de mantequilla, 1 ½ cucharadas , 1 pechuga de pollo sin piel y sin piel: corte en cubos, 1 tomillo secado, sal y pimienta negra molida al gusto, ½ taza de crema espesa, calentada","Derrita la mantequilla en una olla de sopa grande a fuego medio. Agregue cebollas, apio y zanahoria y saltee hasta que esté suave, de 5 a 7 minutos. Agregue harina y curry, y cocine 5 minutos más, revolviendo con frecuencia. Agregue el caldo de pollo, mezcle bien y hierva. Reduzca el fuego y cocine a fuego lento durante unos 30 minutos.
Agregue manzana, arroz, pollo, tomillo, sal y pimienta. Cocine a fuego lento hasta que el arroz esté tierno, de 15 a 20 minutos.
Justo antes de servir, agregue la crema caliente.











TheBritishBaker
","Total de grasa 16G 20%, grasa saturada 10G 48%, colesterol 62mg 21%, sodio 734mg 32%, carbohidrato total 14 g 5%, fibra dietética 1G 5%, azúcares totales 3G, proteína 7G, vitamina C 3 mg 15%, calcio 38mg 3 3 %, Hierro 1 mg 6%, potasio 186mg 4%"
14,Manzanas salteadas,20 mins,8,"¼ de taza de mantequilla, 4 manzanas tartas grandes: peladas, con núcleo y rodajas de 1/4 de pulgada de espesor, ½ taza de agua fría, 2 cucharaditas de maíz, ½ taza de azúcar morena, ½ cucharadita de canela molida","Derrita la mantequilla en una sartén grande o cacerola a fuego medio; Agregue manzanas y cocine, revolviendo constantemente, hasta que esté casi tierno, de 6 a 7 minutos.
Mezcle el agua y la maicena en un tazón pequeño hasta que se disuelva la maicena; Vierta sobre manzanas. Agregue el azúcar morena y la canela. Llevar a ebullición durante 2 minutos, revolviendo ocasionalmente. Retire del fuego y sirva tibio.











Dotdash Meredith Food Studios
","Total de grasa 6G 8%, grasa saturada 4G 19%, colesterol 15 mg 5%, sodio 45mg 2%, carbohidrato total 24 g 9%, fibra dietética 3G 9%, azúcares totales 20 g, proteína 0 g, vitamina C 5 mg 25%, calcio 18mg 1 1 %, Hierro 0 mg 1%, potasio 128 mg 3%"
15,Sidra de manzana casera,7 hrs 15 mins,16,"10 manzanas grandes, acuarteladas, agua, para cubrir, ¾ taza de azúcar blanco, 1 cucharada de canela molida, 1 cucharada de pimienta de Jama","Coloque manzanas en una serie grande; Cubra con agua por al menos 2 pulgadas. Agregue el azúcar, la canela y la pimienta de Jamaica. Hervir a fuego medio-alto. Hervir, descubrir, durante 1 hora. Reducir el calor; Cubra y cocine a fuego lento durante 2 horas.
Colar la mezcla de manzana a través de un tamiz de malla fina; Deseche los sólidos. Drene la sidra nuevamente a través de un tamiz forrado con queso.
Refrigere la sidra hasta que esté frío, aproximadamente 4 horas.











 Ladonna Langwell
","Total de grasa 0G 0%, sodio 1 mg 0%, carbohidrato total 22 g 8%, fibra dietética 2G 9%, azúcares totales 18 g, proteína 0 g, vitamina C 4 mg 21%, calcio 12 mg 1%, hierro 0 mg 1%, potasio 98mg 2%"
16,Llenado de pastel de manzana enlatada,1 hrs,56,"4 ½ tazas de azúcar blanca, 1 taza de maicena, 2 cucharaditas de canela molida, ¼ cucharadita de nuez moscada, 10 tazas de agua, 2 cucharaditas de sal, 3 cucharadas de jugo de limón, 2 gotas colorante de comida amarilla, 6 libras manzanas","Mezcle el azúcar, la maicena, la canela y la nuez moscada en una sartén grande. Agregue agua y sal y mezcle bien. Llevar a ebullición y cocine hasta que esté espeso y burbujeante. Retire del fuego y agregue jugo de limón y colorante de alimentos.
Esterilice frascos, párpados y anillos de enlatado hirviéndolos en una gran olla de agua.
Pele, núcleos y corta manzanas. Empaque las manzanas en rodajas en frascos de enlatado caliente, dejando un espacio de cabeza de 1/2 pulgada.
Llene los frascos con jarabe caliente y retire suavemente las burbujas de aire con un cuchillo.
Ponga las tapas y procese en una sensor de baño de agua durante 20 minutos.","Total de grasa 0G 0%, sodio 85mg 4%, carbohidrato total 25 g 9%, fibra dietética 1G 4%, azúcares totales 21 g, proteína 0 g, vitamina C 3 mg 13%, calcio 5 mg 0%, hierro 0 mg 1%, potasio 54mg 1%1%"
17,Pastel de manzana fácil,1 hrs,8,"1 (14.1 onzas) Pastel de paquete para un pastel de doble corteza de 9 pulgadas, ¾ taza de azúcar blanca, o más al gusto, 1 cucharadita de canela molida, 6 tazas de manzanas en rodajas finas, 1 cucharada de mantequilla","Precaliente el horno a 450 grados F (230 grados C).
Forre un plato de pastel de 9 pulgadas con una corteza de masa; Pon el segundo uno a un lado.
Combine 3/4 taza de azúcar y canela en un tazón pequeño. Agregue más azúcar si sus manzanas son agrias.
Coloque las rodajas de manzana en el plato de pastel preparado, rociando cada capa con mezcla de canela y azúcar. Capa superior de punto con pequeños trozos de mantequilla. Cubra con la corteza superior.
Hornee el pastel en la rejilla más baja del horno precalentado durante 10 minutos. Reduzca la temperatura del horno a 350 grados F (175 grados C) y continúe horneando hasta que estén doradas y llenando burbujas, de 30 a 35 minutos más. Servir cálido o frío.











Dotdash Meredith Food Studios
","Total de grasa 9G 12%, grasa saturada 3G 14%, colesterol 4 mg 1%, sodio 128mg 6%, carbohidrato total 42 g 15%, fibra dietética 3G 11%, azúcares totales 29G, proteína 2g, vitamina C 4 mg 22%, calcio 11mg 1 1 %, Hierro 1 mg 4%, potasio 117mg 2%"
18,Pastel de migas de manzana,1 hrs 20 mins,8,"6 tazas de manzanas en rodajas finas, 1 cucharada de jugo de limón (opcional), ¾ taza de azúcar blanca, 2 cucharadas de harina de uso múltiple, ½ cucharadita de canela molida, ? cucharadita de nuez moscada, ½ taza (opcional), ½ tazas de nuez picado (opcional) , 1 (9 pulgadas) concha de pastel, ½ taza de harina para todo uso, ½ taza de azúcar morena empaquetada, 3 cucharadas de mantequilla","Precaliente el horno a 375 grados F (190 grados C).
Coloque manzanas en rodajas en un tazón grande; Espolvorea con jugo de limón. Mezcle el azúcar blanco, 2 cucharadas de harina, canela y nuez moscada en un tazón pequeño; Espolvorea la mezcla sobre las manzanas y revuelve hasta que estén cubiertas uniformemente. Agregue pasas y nueces; Transfiera la mezcla a la carcasa del pastel.
Mezcle 1/2 taza de harina y azúcar morena en un tazón pequeño. Mezcle en mantequilla con un tenedor hasta que la mezcla esté desmenuzable; Espolvorea sobre el relleno de manzana. Cubra la parte superior del pastel con lámina de aluminio.
Hornee en el horno precalentado durante 25 minutos. Retire el papel de aluminio y hornee hasta que la parte superior esté dorada y el relleno sea burbujeante, aproximadamente 25 a 30 minutos más. Enfríe en una rejilla antes de servir.","Total de grasa 15g 19%, grasa saturada 4G 20%, colesterol 11mg 4%, sodio 139mg 6%, carbohidrato total 70 g 25%, fibra dietética 4G 13%, azúcares totales 49G, proteína 4G, vitamina C 6mg 28%, calcio 37mg 3 %, Hierro 1 mg 8%, potasio 261mg 6%"
19,Manzanas de caramelo,25 mins,6,"6 manzanas, 6 barras de madera, spray de cocina, paquete de 1 (14 onzas) caramelos envueltos individualmente, sin envolver, 2 cucharadas de leche","Retire el tallo de cada manzana y presione una barra de manualidades en la parte superior. Rocíe una bandeja para hornear con spray de cocina.
Coloque los caramelos y la leche en un tazón seguro para microondas; Microondas durante 2 minutos, revolviendo una vez. Ponga a un lado para enfriar brevemente.
Enrolle cada manzana rápidamente en salsa de caramelo hasta que esté bien cubierto. Coloque en la hoja preparada para establecer.









","Total de grasa 6G 7%, grasa saturada 2G 9%, colesterol 5 mg 2%, sodio 164mg 7%, carbohidrato total 70g 25%, fibra dietética 3G 12%, azúcares totales 57 g, proteína 4G, vitamina C 7mg 33%, calcio 104mg 8 8 %, Hierro 0 mg 2%, potasio 295mg 6%"
20,pastel de manzana aleman,1 hrs,24,"1 taza de aceite vegetal, 2 huevos, 2 tazas de azúcar blanca, 1 cucharadita de extracto de vainilla, 2 tazas de harina para todo uso, 2 cucharaditas de canela molida, 1 cucharadita de bicarbonato de sodio, ½ cucharadita de sal, 4 tazas de manzanas - peladas, con núcleo y cubierta cubierta","Precaliente el horno a 350 grados F (175 grados C). Engrase y harina un molde para pastel de 9x13 pulgadas.
Batir el aceite y los huevos en un tazón con una batidora eléctrica hasta que estén cremosas. Agregue azúcar y vainilla; Golpea bien.
Revuelva la harina, la canela, el bicarbonato de sodio y la sal en un tazón. Agregue lentamente la mezcla de harina a la mezcla de huevo; Mezcle hasta que se combine. La masa será muy gruesa. Dobla las manzanas a mano con una cuchara de madera. Extienda la masa en la sartén preparada.
Hornee el pastel en el horno precalentado hasta que un palillo de dientes insertado en el centro salga limpio, aproximadamente 45 minutos. Enfríe el pastel en una rejilla de alambre.","Total de grasa 10G 12%, grasa saturada 1G 7%, colesterol 16 mg 5%, sodio 107mg 5%, carbohidrato total 28 g 10%, fibra dietética 1G 3%, azúcares totales 19G, proteína 2 g, vitamina C 1 mg 5%, calcio 7mg 1 1 %, Hierro 1 mg 3%, potasio 41mg 1%"
